home,ratings,bedrooms,beds,baths,house_type,city
Guesthouse in Austin ,4.94,nan,2.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,2.0,2.0,['1.5'],Home,Austin 
Serviced apartment in Austin ,,1.0,2.0,['1'],Serviced apartment,Austin 
Home in Austin ,4.97,3.0,3.0,['2'],Home,Austin 
Guesthouse in Austin ,4.90,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,3.0,5.0,['2'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Home in Austin ,5.0,3.0,3.0,['3'],Home,Austin 
Home in Austin ,4.95,3.0,6.0,['2'],Home,Austin 
Bungalow in Austin ,,1.0,1.0,['1'],Bungalow,Austin 
Rental unit in Austin ,4.58,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Townhouse in Austin ,4.96,2.0,2.0,['1'],Townhouse,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Home in Austin ,5.0,2.0,1.0,['1'],Home,Austin 
Home in Austin ,4.67,6.0,1.0,['5'],Home,Austin 
Home in Austin ,4.96,4.0,5.0,['3'],Home,Austin 
Guest suite in Austin ,4.97,1.0,1.0,['1'],Guest suite,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Place to stay in Austin ,5.0,2.0,2.0,['2.5'],Place to stay,Austin 
Home in Austin ,,2.0,1.0,['2.5'],Home,Austin 
Condo in Austin ,4.71,1.0,2.0,['1'],Condo,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Townhouse in Austin ,4.97,2.0,2.0,['1'],Townhouse,Austin 
Rental unit in Austin ,,nan,1.0,['1'],Rental unit,Austin 
Loft in Austin ,4.81,2.0,2.0,['1'],Loft,Austin 
Home in Austin ,4.75,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.89,1.0,1.0,0.5,Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Condo in Austin ,4.74,1.0,1.0,['1'],Condo,Austin 
Condo in Austin ,,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,,nan,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.85,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,1.0,2.0,0.5,Home,Austin 
Home in Austin ,5.0,2.0,1.0,['1'],Home,Austin 
Home in Austin ,4.76,2.0,2.0,['1'],Home,Austin 
Home in Austin ,5.0,4.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,4.98,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.90,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.79,1.0,1.0,['1'],Home,Austin 
Townhouse in Austin ,,3.0,3.0,['2.5'],Townhouse,Austin 
Rental unit in Austin ,,2.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.67,1.0,1.0,0.5,Rental unit,Austin 
Bungalow in Austin ,,2.0,2.0,['1'],Bungalow,Austin 
Guesthouse in Austin ,4.96,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,,3.0,4.0,['2'],Home,Austin 
Rental unit in Austin ,,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.92,4.0,5.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,5.0,nan,1.0,['1'],Guesthouse,Austin 
Townhouse in Austin ,,2.0,2.0,['2.5'],Townhouse,Austin 
Condo in Austin ,4.30,1.0,1.0,['1'],Condo,Austin 
Condo in Austin ,5.0,1.0,1.0,['1'],Condo,Austin 
Rental unit in Austin ,4.77,2.0,3.0,['1'],Rental unit,Austin 
Bungalow in Austin ,5.0,2.0,2.0,['1'],Bungalow,Austin 
Home in Austin ,4.91,2.0,1.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Bungalow in Austin ,4.93,2.0,2.0,['1'],Bungalow,Austin 
Guesthouse in Austin ,4.99,1.0,1.0,['1.5'],Guesthouse,Austin 
Rental unit in Austin ,4.53,2.0,4.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.62,nan,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.46,2.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.93,1.0,1.0,['1.5'],Home,Austin 
Home in Austin ,,3.0,4.0,['3'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.95,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.86,1.0,1.0,['1'],Rental unit,Austin 
Condo in Austin ,4.90,1.0,2.0,['1'],Condo,Austin 
Rental unit in Austin ,,2.0,2.0,['1'],Rental unit,Austin 
Condo in Austin ,4.93,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Cottage in Austin ,,1.0,1.0,['1'],Cottage,Austin 
Home in Austin ,4.91,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,4.0,['2.5'],Home,Austin 
Townhouse in Austin ,4.76,2.0,3.0,['1'],Townhouse,Austin 
Guesthouse in Austin ,5.0,2.0,2.0,['2'],Guesthouse,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Guest suite in Austin ,4.97,2.0,3.0,['1'],Guest suite,Austin 
Home in Austin ,4.88,3.0,3.0,['2'],Home,Austin 
Condo in Austin ,,2.0,3.0,['1'],Condo,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Home in Austin ,4.83,5.0,6.0,['3'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,5.0,4.0,4.0,['3'],Home,Austin 
Townhouse in Austin ,4.97,1.0,1.0,['1.5'],Townhouse,Austin 
Rental unit in Austin ,4.25,1.0,2.0,['1'],Rental unit,Austin 
Townhouse in Austin ,,3.0,3.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.76,3.0,3.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,5.0,1.0,1.0,0.5,Rental unit,Austin 
Condo in Austin ,5.0,1.0,2.0,0.5,Condo,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Bungalow in Austin ,4.95,1.0,1.0,['1'],Bungalow,Austin 
Home in Austin ,,2.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,1.0,2.0,['1'],Home,Austin 
Home in Austin ,4.96,3.0,5.0,['1'],Home,Austin 
Home in Austin ,4.91,3.0,3.0,['2.5'],Home,Austin 
Place to stay in Austin ,5.0,1.0,2.0,['2'],Place to stay,Austin 
Home in Austin ,4.97,2.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,4.56,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,4.0,5.0,['2.5'],Home,Austin 
Guest suite in Austin ,4.87,1.0,2.0,['1'],Guest suite,Austin 
Home in Austin ,5.0,3.0,4.0,['2.5'],Home,Austin 
Home in Austin ,4.87,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.97,nan,4.0,['1'],Guesthouse,Austin 
Home in Austin ,4.85,3.0,3.0,['2'],Home,Austin 
Guesthouse in Austin ,4.93,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.75,1.0,1.0,['1'],Home,Austin 
Boutique hotel in Austin ,5.0,1.0,1.0,['1.5'],Boutique hotel,Austin 
Home in Austin ,,2.0,2.0,['2'],Home,Austin 
Home in Austin ,,4.0,3.0,['2'],Home,Austin 
Home in Rollingwood ,,1.0,1.0,['1'],Home,Rollingwood 
Condo in Austin ,,3.0,3.0,['2'],Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,5.0,3.0,5.0,['4.5'],Guesthouse,Austin 
Place to stay in Austin ,,1.0,1.0,0.5,Place to stay,Austin 
Rental unit in Austin ,5.0,2.0,3.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.93,1.0,1.0,0.5,Rental unit,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.81,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,2.0,3.0,['1'],Rental unit,Austin 
Home in Austin ,4.67,2.0,3.0,['1'],Home,Austin 
Home in Austin ,,2.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.43,1.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,5.0,1.0,2.0,['1'],Rental unit,Austin 
Place to stay in Austin ,4.84,1.0,1.0,['1'],Place to stay,Austin 
Condo in Austin ,4.50,nan,1.0,['1'],Condo,Austin 
Rental unit in Austin ,,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.95,3.0,6.0,['2'],Home,Austin 
Guest suite in Austin ,4.91,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,0.5,Rental unit,Austin 
Condo in Austin ,4.91,2.0,2.0,['1'],Condo,Austin 
Home in Austin ,5.0,2.0,1.0,['1'],Home,Austin 
Guest suite in Austin ,4.88,1.0,1.0,['1'],Guest suite,Austin 
Bungalow in Austin ,4.67,2.0,3.0,['2'],Bungalow,Austin 
Home in Austin ,4.93,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,5.0,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.73,4.0,5.0,['3.5'],Home,Austin 
"Loft in Westlake Hills, Austin ",4.82,1.0,1.0,['1'],Loft,"Westlake Hills, Austin "
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.87,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,4.92,4.0,9.0,['3'],Home,Austin 
Home in Austin ,4.85,4.0,5.0,['3'],Home,Austin 
Condo in Austin ,4.94,2.0,2.0,['2'],Condo,Austin 
Rental unit in Austin ,,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,['1.5'],Home,Austin 
Home in Austin ,,3.0,3.0,['2.5'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.58,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.0,nan,1.0,0.5,Rental unit,Austin 
Rental unit in Austin ,,2.0,3.0,['2'],Rental unit,Austin 
Rental unit in Austin ,4.67,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.57,4.0,1.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['3'],Home,Austin 
Rental unit in Austin ,,nan,1.0,['1'],Rental unit,Austin 
Resort in Austin ,,2.0,3.0,['2'],Resort,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,2.0,3.0,['2'],Rental unit,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Bungalow in Austin ,4.96,2.0,3.0,['1'],Bungalow,Austin 
Loft in Austin ,5.0,2.0,2.0,['2'],Loft,Austin 
Home in Austin ,,4.0,7.0,['4.5'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,3.50,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.92,3.0,5.0,['2.5'],Home,Austin 
Bungalow in Austin ,,2.0,2.0,['1'],Bungalow,Austin 
Bungalow in Austin ,5.0,2.0,4.0,['1.5'],Bungalow,Austin 
Rental unit in Austin ,4.97,2.0,4.0,['1'],Rental unit,Austin 
Home in Austin ,4.72,1.0,1.0,['1.5'],Home,Austin 
Rental unit in Austin ,4.90,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,1.0,2.0,['1'],Home,Austin 
Home in Austin ,5.0,4.0,4.0,['2'],Home,Austin 
Home in Austin ,,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,4.85,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.89,1.0,1.0,['2'],Rental unit,Austin 
Home in Austin ,,2.0,3.0,['1'],Home,Austin 
Townhouse in Austin ,4.75,2.0,3.0,['2'],Townhouse,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.67,1.0,1.0,0.5,Rental unit,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Townhouse in Austin ,,2.0,2.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.46,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,4.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Bungalow in Austin ,4.91,2.0,4.0,['1'],Bungalow,Austin 
Home in Austin ,5.0,2.0,2.0,['1.5'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.92,4.0,7.0,['2'],Home,Austin 
Home in Austin ,4.76,3.0,4.0,['3'],Home,Austin 
Rental unit in Austin ,3.33,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.95,4.0,9.0,['3'],Home,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Townhouse in Austin ,,2.0,2.0,['2.5'],Townhouse,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,0.5,Rental unit,Austin 
Rental unit in Austin ,4.88,1.0,1.0,0.5,Rental unit,Austin 
Rental unit in Austin ,,2.0,1.0,0.5,Rental unit,Austin 
Home in Austin ,,1.0,2.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.90,nan,2.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,5.0,1.0,1.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,2.0,3.0,['2.5'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,0.5,Rental unit,Austin 
Rental unit in Austin ,4.80,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Guesthouse in Austin ,4.81,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Guest suite in Austin ,4.98,nan,1.0,['1'],Guest suite,Austin 
Townhouse in Austin ,,1.0,1.0,['1'],Townhouse,Austin 
Rental unit in Austin ,,2.0,2.0,['2'],Rental unit,Austin 
Condo in Austin ,3.50,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,,nan,1.0,0.5,Home,Austin 
Rental unit in Austin ,,nan,2.0,['1'],Rental unit,Austin 
Cottage in Austin  ,4.73,1.0,1.0,['1'],Cottage,Austin  
Home in Austin ,4.81,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,,1.0,3.0,['1'],Home,Austin 
Rental unit in Austin ,4.90,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.75,2.0,3.0,0.5,Home,Austin 
Home in Austin ,,nan,1.0,['1'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,,nan,1.0,0.5,Home,Austin 
Home in Austin ,4.73,1.0,2.0,['1'],Home,Austin 
Home in Austin ,,nan,2.0,0.5,Home,Austin 
Home in Austin ,4.88,3.0,6.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.96,nan,1.0,['1'],Guesthouse,Austin 
Camper/RV in Austin ,4.83,2.0,2.0,['1'],Camper/RV,Austin 
Place to stay in Austin ,,1.0,1.0,0.5,Place to stay,Austin 
Home in Austin ,4.53,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.94,1.0,1.0,['1'],Guesthouse,Austin 
Rental unit in Austin ,,2.0,3.0,['2'],Rental unit,Austin 
Home in Austin ,,2.0,3.0,['2'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.95,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,2.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.83,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.80,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,4.25,1.0,2.0,['1'],Condo,Austin 
Guest suite in Austin ,4.67,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,,1.0,2.0,['1'],Rental unit,Austin 
Condo in Austin ,4.90,2.0,2.0,['1'],Condo,Austin 
Home in Austin ,4.59,2.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,4.80,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.95,3.0,5.0,['2'],Home,Austin 
Home in Austin ,4.82,4.0,7.0,['3'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,5.0,1.0,1.0,0.5,Rental unit,Austin 
Rental unit in Austin ,4.97,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.71,3.0,3.0,['2'],Home,Austin 
Barn in Austin ,4.94,1.0,1.0,['1'],Barn,Austin 
Guest suite in Austin ,4.64,nan,2.0,['1'],Guest suite,Austin 
Home in Austin ,4.77,2.0,4.0,['2'],Home,Austin 
Home in Austin ,4.76,1.0,4.0,['2'],Home,Austin 
Home in Austin ,4.70,5.0,1.0,['4.5'],Home,Austin 
Condo in Austin ,4.89,1.0,2.0,['1'],Condo,Austin 
Bungalow in Austin ,,1.0,1.0,['1'],Bungalow,Austin 
Townhouse in Austin ,4.95,3.0,3.0,['3'],Townhouse,Austin 
Rental unit in Austin ,4.71,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Condo in Lakeway ,4.64,4.0,6.0,['2.5'],Condo,Lakeway 
Guesthouse in Austin ,4.91,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.88,2.0,5.0,['1'],Home,Austin 
Home in Austin ,4.84,1.0,1.0,['1'],Home,Austin 
Home in Austin ,5.0,4.0,4.0,['4'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,5.0,7.0,['2.5'],Home,Austin 
Home in Austin ,4.76,1.0,3.0,['1'],Home,Austin 
Serviced apartment in Austin ,4.89,1.0,2.0,['1'],Serviced apartment,Austin 
Home in Austin ,4.95,4.0,4.0,['3.5'],Home,Austin 
Guest suite in Austin ,4.85,1.0,1.0,['1'],Guest suite,Austin 
Condo in Austin ,5.0,1.0,1.0,['1'],Condo,Austin 
Rental unit in Austin ,4.57,2.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.59,2.0,4.0,['1'],Rental unit,Austin 
Home in Austin ,4.71,2.0,2.0,['1'],Home,Austin 
Condo in Austin ,4.95,1.0,1.0,['1'],Condo,Austin 
Guesthouse in Austin ,4.89,1.0,2.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,4.93,1.0,1.0,0.5,Guesthouse,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,New,4.0,4.0,['3.5'],Home,Austin 
Home in Austin ,4.91,2.0,1.0,0.5,Home,Austin 
Villa in Austin ,5.0,3.0,6.0,['4'],Villa,Austin 
Home in Austin ,4.87,2.0,3.0,['1'],Home,Austin 
Home in Austin ,5.0,5.0,7.0,['4.5'],Home,Austin 
Home in Austin ,5.0,4.0,1.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Resort in Austin ,,3.0,4.0,['3'],Resort,Austin 
Rental unit in Austin ,5.0,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.94,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.63,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,5.0,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.80,1.0,1.0,0.5,Home,Austin 
Home in Austin ,New,1.0,1.0,0.5,Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,5.0,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.88,2.0,3.0,['1'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.97,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.92,2.0,2.0,['2'],Home,Austin 
Guesthouse in Austin ,4.94,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,,3.0,2.0,['1'],Home,Austin 
Bungalow in Austin ,4.83,4.0,6.0,['2'],Bungalow,Austin 
Rental unit in Austin ,5.0,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,2.0,2.0,0.5,Home,Austin 
Condo in Austin ,5.0,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.83,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.50,2.0,2.0,['1.5'],Home,Austin 
Resort in Austin ,,1.0,1.0,['1'],Resort,Austin 
Hotel in Austin ,4.96,2.0,3.0,['2'],Hotel,Austin 
Rental unit in Austin ,4.91,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.94,3.0,4.0,['2'],Home,Austin 
Home in Austin ,4.78,3.0,3.0,['2.5'],Home,Austin 
Condo in Austin ,5.0,2.0,2.0,['2'],Condo,Austin 
Condo in Austin ,4.97,1.0,2.0,['1'],Condo,Austin 
Bungalow in Austin ,4.86,2.0,2.0,['1'],Bungalow,Austin 
Home in Austin ,4.97,4.0,5.0,['2.5'],Home,Austin 
Rental unit in Austin ,5.0,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.92,3.0,5.0,['2'],Home,Austin 
Guesthouse in Austin ,4.92,3.0,6.0,['2'],Guesthouse,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Cottage in Austin ,4.57,2.0,2.0,['1'],Cottage,Austin 
Home in Austin ,4.96,2.0,1.0,0.5,Home,Austin 
Home in Austin ,4.94,2.0,1.0,['1'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,5.0,1.0,1.0,0.5,Rental unit,Austin 
Home in Austin ,,4.0,4.0,['3.5'],Home,Austin 
Guesthouse in Austin ,4.99,2.0,4.0,['2'],Guesthouse,Austin 
Tiny home in Austin ,4.84,1.0,1.0,['1'],Tiny home,Austin 
Rental unit in Austin ,4.71,nan,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.72,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,2.0,['2'],Home,Austin 
Home in Austin ,4.88,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.84,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.65,2.0,4.0,['1'],Rental unit,Austin 
Condo in Austin ,4.89,1.0,1.0,['1'],Condo,Austin 
Home in West Lake Hills ,4.67,3.0,5.0,['3'],Home,West Lake Hills 
Guest suite in Austin ,4.98,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,,1.0,1.0,0.5,Rental unit,Austin 
Guest suite in Austin ,4.86,1.0,1.0,['1'],Guest suite,Austin 
Home in Austin ,4.85,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,4.96,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.97,3.0,3.0,['1'],Home,Austin 
Townhouse in Austin ,4.92,1.0,1.0,0.5,Townhouse,Austin 
Home in Austin ,,2.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,1.0,3.0,0.5,Home,Austin 
Vacation home in Austin ,4.91,6.0,8.0,['4'],Vacation home,Austin 
Home in Austin ,5.0,1.0,1.0,['2'],Home,Austin 
Condo in Austin ,4.75,2.0,3.0,['2'],Condo,Austin 
Townhouse in Austin ,5.0,2.0,2.0,['2'],Townhouse,Austin 
Guesthouse in Austin ,4.50,2.0,3.0,['1'],Guesthouse,Austin 
Cottage in Austin ,4.79,1.0,1.0,['1'],Cottage,Austin 
Home in Austin ,4.96,2.0,1.0,['1'],Home,Austin 
Home in Austin ,4.99,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.91,2.0,1.0,['1'],Home,Austin 
Guesthouse in Austin ,4.95,1.0,1.0,['1'],Guesthouse,Austin 
Rental unit in Austin ,,nan,2.0,['2'],Rental unit,Austin 
Resort in Austin ,,2.0,3.0,['2'],Resort,Austin 
Condo in Austin ,4.97,1.0,1.0,['1'],Condo,Austin 
Rental unit in Austin ,4.60,nan,1.0,['1'],Rental unit,Austin 
Tiny home in Austin ,4.98,1.0,1.0,['1'],Tiny home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Cottage in Austin ,5.0,1.0,1.0,['1'],Cottage,Austin 
Home in Austin ,,3.0,1.0,['1.5'],Home,Austin 
Guesthouse in Austin ,5.0,1.0,2.0,['1'],Guesthouse,Austin 
Loft in Austin ,4.85,3.0,3.0,['2'],Loft,Austin 
Rental unit in Austin ,,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.93,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,5.0,2.0,2.0,['2'],Rental unit,Austin 
Rental unit in Austin ,4.65,nan,2.0,['1'],Rental unit,Austin 
Townhouse in Austin ,5.0,2.0,2.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.91,1.0,1.0,['1'],Home,Austin 
Home in Austin ,,3.0,3.0,['1'],Home,Austin 
Home in Austin ,4.82,4.0,3.0,['2'],Home,Austin 
Home in Austin ,4.86,2.0,2.0,['2'],Home,Austin 
Home in Austin ,4.96,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.90,4.0,8.0,['3'],Home,Austin 
Home in Austin ,4.94,1.0,1.0,0.5,Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.98,4.0,4.0,['2.5'],Home,Austin 
Condo in Austin ,4.99,nan,1.0,['1'],Condo,Austin 
Condo in Austin ,5.0,1.0,1.0,0.5,Condo,Austin 
